id,curr_time,coin,open_time,close_time,last_price_dollars,liquidity_dollars,no_ask_dollars,no_bid_dollars,yes_ask_dollars,yes_bid_dollars,open_interest,floor_strike,cap_strike,strike_type,volume,volume_24h_fp
298,2026-03-21T14:10:07.635288+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
299,2026-03-21T14:10:07.635288+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
300,2026-03-21T14:10:07.635288+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
301,2026-03-21T14:10:07.635288+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
302,2026-03-21T14:10:08.637055+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
303,2026-03-21T14:10:08.637055+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
304,2026-03-21T14:10:08.637055+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
305,2026-03-21T14:10:08.637055+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
306,2026-03-21T14:10:09.638258+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
307,2026-03-21T14:10:09.638258+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
308,2026-03-21T14:10:09.638258+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
309,2026-03-21T14:10:09.638258+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
310,2026-03-21T14:10:10.639621+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
311,2026-03-21T14:10:10.639621+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
312,2026-03-21T14:10:10.639621+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
313,2026-03-21T14:10:10.639621+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
314,2026-03-21T14:10:11.640701+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
315,2026-03-21T14:10:11.640701+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
316,2026-03-21T14:10:11.640701+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
317,2026-03-21T14:10:11.640701+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
318,2026-03-21T14:10:12.642193+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
319,2026-03-21T14:10:12.642193+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
320,2026-03-21T14:10:12.642193+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
321,2026-03-21T14:10:12.642193+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
322,2026-03-21T14:10:13.643106+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
323,2026-03-21T14:10:13.643106+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
324,2026-03-21T14:10:13.643106+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
325,2026-03-21T14:10:13.643106+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
326,2026-03-21T14:10:14.654709+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.971,0.0,0.03,0.029,0.971,0.97,,70724.91,,greater_or_equal,,4778.0
327,2026-03-21T14:10:14.654709+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
328,2026-03-21T14:10:14.654709+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
329,2026-03-21T14:10:14.654709+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
330,2026-03-21T14:10:15.656097+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.971,0.0,0.03,0.029,0.971,0.97,,70724.91,,greater_or_equal,,4778.0
331,2026-03-21T14:10:15.656097+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
332,2026-03-21T14:10:15.656097+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
333,2026-03-21T14:10:15.656097+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
334,2026-03-21T14:10:16.656679+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.971,0.0,0.03,0.029,0.971,0.97,,70724.91,,greater_or_equal,,4778.0
335,2026-03-21T14:10:16.656679+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
336,2026-03-21T14:10:16.656679+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.38,0.0,0.65,0.61,0.39,0.35,,1.4394,,greater_or_equal,,0.0
337,2026-03-21T14:10:16.656679+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
338,2026-03-21T14:10:17.658207+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.971,0.0,0.03,0.029,0.971,0.97,,70724.91,,greater_or_equal,,4778.0
339,2026-03-21T14:10:17.658207+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
340,2026-03-21T14:10:17.658207+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.38,0.0,0.65,0.61,0.39,0.35,,1.4394,,greater_or_equal,,0.0
341,2026-03-21T14:10:17.658207+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
342,2026-03-21T14:10:18.659412+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.971,0.0,0.03,0.029,0.971,0.97,,70724.91,,greater_or_equal,,4778.0
343,2026-03-21T14:10:18.659412+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
344,2026-03-21T14:10:18.659412+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.38,0.0,0.65,0.61,0.39,0.35,,1.4394,,greater_or_equal,,0.0
345,2026-03-21T14:10:18.659412+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
346,2026-03-21T14:10:19.660214+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.971,0.0,0.03,0.029,0.971,0.97,,70724.91,,greater_or_equal,,4778.0
347,2026-03-21T14:10:19.660214+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
348,2026-03-21T14:10:19.660214+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.38,0.0,0.65,0.61,0.39,0.35,,1.4394,,greater_or_equal,,0.0
349,2026-03-21T14:10:19.660214+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
350,2026-03-21T14:10:20.660784+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.971,0.0,0.03,0.029,0.971,0.97,,70724.91,,greater_or_equal,,4778.0
351,2026-03-21T14:10:20.660784+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
